,Text,Date,Retweets,Favorites,Mentions,HashTags
115,New Zealand has now gone 100 days with no new local COVID-19 cases — and it hasn't been on lockdown since June. https://www.businessinsider.com/new-zealand-100-days-no-new-local-covid-cases-2020-8?utmSource=twitter&amp;utmContent=referral&amp;utmTerm=topbar&amp;referrer=twitter via @businessinsider,2020-08-09 20:32:31+00:00,32,61,@businessinsider,
116,Great the (unexplained) legal difficulties preventing this have been overcome. Only took a regional lockdown to get here. I’m sure that’s a complete coincidence ,2020-08-09 20:32:09+00:00,9,54,,
117,"I get told off if I post stuff like this too often, but it’s even more beautiful in lockdown. My daughter Erin &amp; her mates with their version of “The Luckiest” by @BenFolds",2020-08-09 20:30:35+00:00,8,71,@BenFolds,
118,"Two-thirds of UK’s furloughed workers continued job in Covid-19 lockdown | UK news | The Guardian Another, yes ANOTHER serious fcuckup by the U.K. Tory government..... It just goes on....and on....and on ⁦@RenewParty⁩ #ToryIncompetence",2020-08-09 20:29:35+00:00,22,18,@RenewParty,#ToryIncompetence
119,"This currently developing Hell was on our trajectory before Lockdown. The ANC’s policy outcomes have simply now been accelerated by events beyond their control and comprehension. This is who they are. This is who they always were. Stop enabling your own abuse, South Africa.",2020-08-09 20:27:43+00:00,15,62,,
120,"Whatever you and Andrew have been up to during lockdown keep at it you look very comfy on the Honda, great riding this weekend ",2020-08-09 20:26:48+00:00,1,73,,
121,the end of “vacation” in lockdown really does hit differently ,2020-08-09 20:19:48+00:00,3,138,,
122,BREAKING NEWS: Dr. Nkosazana Dlamini Zuma is expected to request for extension of Lockdown on Tuesday for another month. There are rumours that President Cyril Ramaphosa wanted to Lift the Lockdown but he is not getting support even though cases are decreasing. ,2020-08-09 20:16:38+00:00,14,72,,
123,"Republicans, Libertarians, Liberals: maybe we should consider all variables including the economy, mental health, risks by age groups and damage to minority communities before going full lockdown/school closures Leftists: ",2020-08-09 20:16:13+00:00,33,141,,
124,Lockdown seriously got me posing with trees ,2020-08-09 20:14:29+00:00,42,679,,
125,"@SharkWeek warming up with “Sharks of the Badlands” at 5pm if you haven’t seen it’s rad &amp; with my good mate @KinaScollay who also kicks off Shark Week 2020 tonight at 10pm with “Lockdown Sharks” which I was stoked to work on, incredible show shot with the best Great White Sharks ",2020-08-09 20:13:21+00:00,13,122,@SharkWeek,
126,Being in lockdown and taking football away has reignited the desire! Never thought I’d miss it but being back out there playing you just can’t beat it #football,2020-08-09 20:12:51+00:00,6,159,,#football
127,"After police intervention, the fire was extinguished by refugees. #Moria camp is not safe for these vulnerable migrants. They live in lockdown since more than five months without water and electricity.",2020-08-09 20:12:02+00:00,47,80,,#Moria
128,"WHO Director Tedros Adhanom - Gay, Red Terrorist Heads Global Lockdown https://www.henrymakow.com/2020/08/tedros-gay-red-terrorist.html A non-physician implicated in genocide; he is just the person to oversee the destruction of civilization. below- cruisin' at the local gay bar",2020-08-09 20:11:30+00:00,18,24,,
129,New video coming this week and a brand new track from the forthcoming collab album with @bernardbutlerofficial. It’s been a real curveball making these ourselves from our respective houses during lockdown. But I think you’ll enjoy the result! https://instagr.am/p/CDrmeUdHaX3/,2020-08-09 20:08:22+00:00,3,39,,
130,"The youngest and most dedicated volunteer , apprentice we have since March 2020 throughout lockdown. @abigia42 who’s project with @zinsideoutschul gave birth to @WasteNotProject in the beggining. These are the hopes of our next generation.",2020-08-09 20:07:45+00:00,3,27,@abigia42 @zinsideoutschul @WasteNotProject,
131,lockdown jensen is beautiful ,2020-08-09 20:05:18+00:00,37,112,,
